漢字,訓読み
朽,すた（れる）
迎,むか（える）
抜,ぬ（ける）
攻,せ（める）
攻,おさ（める）
却,しりぞ（ける）
更,ふ（ける）
更,あらた（める）
更,か（える）
狂,ふ（れる）
秀,ひい（でる）
戒,いまし（める）
含,ふく（める）
沈,しず（める）
抵,ふ（れる）
茂,すぐ（れる）
泊,と（める）
怖,おそ（れる）
抱,かか（える）
荒,あ（れる）
逃,に（げる）
逃,のが（れる）
枯,か（れる）
狭,せば（める）
耐,た（える）
称,あ（げる）
称,たた（える）
称,とな（える）
振,ふ（れる）
透,す（ける）
倒,たお（れる）
倒,こ（ける）
扇,おだ（てる）
兼,か（ねる）
兼,あわ（せる）
剤,ま（ぜる）
疲,つか（れる）
被,かず（ける）
被,かぶ（せる）
恐,おそ（れる）
添,そ（える）
執,とら（える）
脱,ぬ（げる）
寂,さび（れる）
遅,おく（れる）
弾,はじ（ける）
絡,から（める）
絡,から（げる）
訴,うった（える）
尋,たず（ねる）
殖,ふ（える）
煮,に（える）
援,たす（ける）
越,こ（える）
畳,かさ（ねる）
偉,すぐ（れる）
替,か（える）
距,へだ（てる）
御,おさ（める）
誉,ほ（める）
載,の（せる）
溶,と（ける）
勧,すす（める）
較,くら（べる）
詰,つ（める）
跳,は（ねる）
蓄,たくわ（える）
違,ちが（える）
違,たが（える）
傾,かたむ（ける）
傾,かた（げる）
触,ふ（れる）
寝,や（める）
腐,くさ（れる）
隠,かく（れる）
駆,か（ける）
滴,た（れる）
需,もと（める）
戯,たわむ（れる）
戯,ざ（れる）
戯,たわ（ける）
監,しら（べる）
震,ふる（える）
薄,うす（める）
薄,うす（れる）
憶,おぼ（える）
避,さ（ける）
避,よ（ける）
壊,こわ（れる）
壊,やぶ（れる）
翼,たす（ける）
離,はな（れる）
爆,さ（ける）
爆,は（ぜる）
露,あらわ（れる）
襲,かさ（ねる）
斥,しりぞ（ける）
伏,ふ（せる）
伏,かく（れる）
企,くわだ（てる）
伸,の（べる）
没,おぼ（れる）
妨,さまた（げる）
抑,おさ（える）
卓,すぐ（れる）
拘,とど（める）
拘,とら（える）
炎,も（える）
免,まぬか（れる）
免,や（める）
架,か（ける）
赴,つ（げる）
怠,なま（ける）
訂,さだ（める）
虐,しいた（げる）
匿,かく（れる）
凍,こご（える）
凍,い（てる）
託,かこつ（ける）
託,まか（せる）
辱,はずかし（める）
畜,たくわ（える）
紛,まぎ（れる）
紛,みだ（れる）
衰,おとろ（える）
脅,おび（える）
埋,う（める）
埋,い（ける）
掛,か（ける）
控,ひか（える）
控,つ（げる）
勘,かんが（える）
逮,とら（える）
掲,かか（げる）
排,おしの（ける）
排,つら（ねる）
崩,くず（れる）
虚,うつ（ける）
陳,つら（ねる）
陳,の（べる）
陳,ひ（ねる）
揚,あ（げる）
揺,ゆ（れる）
裂,さ（ける）
超,こ（える）
遂,と（げる）
遂,おお（せる）
焦,こ（げる）
焦,じ（れる）
換,か（える）
絞,し（める）
詠,なが（める）
慌,あわ（てる）
携,たずさ（える）
携,はな（れる）
塗,まみ（れる）
隔,へだ（てる）
棄,す（てる）
摂,か（ねる）
零,こぼ（れる）
該,か（ねる）
獄,うった（える）
漏,も（れる）
慰,なぐさ（める）
緊,し（める）
緩,ゆる（める）
餓,う（える）
憂,うれ（える）
締,し（める）
請,う（ける）
縛,いまし（める）
膨,ふく（れる）
鍛,きた（える）
擦,す（れる）
擦,かす（れる）
鎮,しず（める）
穫,とりい（れる）
濫,みだ（れる）
譲,せ（める）
囚,とら（える）
充,あ（てる）
扶,たす（ける）
呉,く（れる）
享,う（ける）
享,すす（める）
併,あわ（せる）
沸,た（てる）
附,つ（ける）
析,わ（ける）
斉,ととの（える）
劾,しら（べる）
尚,くわ（える）
勅,いまし（める）
砕,くだ（ける）
俊,すぐ（れる）
叙,の（べる）
括,くび（れる）
飢,う（える）
准,なぞら（える）
陥,おとしい（れる）
索,もと（める）
挿,す（げる）
剖,わ（ける）
栽,う（える）
据,す（える）
崇,あが（める）
患,うれ（える）
眺,なが（める）
累,かさ（ねる）
逸,すぐ（れる）
逸,そ（れる）
逸,はぐ（れる）
麻,しび（れる）
訟,うった（える）
搭,の（せる）
塁,かさ（ねる）
堪,た（える）
堪,こた（える）
堪,こら（える）
廃,すた（れる）
廃,や（める）
詔,つ（げる）
傑,すぐ（れる）
愁,うれ（える）
頒,わ（ける）
献,ささ（げる）
奨,すす（める）
痴,し（れる）
彰,あらわ（れる）
漬,つ（ける）
駄,の（せる）
褒,ほ（める）
撤,す（てる）
窮,きわ（める）
稼,う（える）
謁,まみ（える）
罷,つか（れる）
罷,や（める）
弊,つい（える）
弊,つか（れる）
弊,やぶ（れる）
懐,なつ（ける）
融,と（ける）
薦,すす（める）
矯,た（める）
擬,なぞら（える）
顕,あらわ（れる）
癒,い（える）
懸,か（ける）
勾,とら（える）
氾,あふ（れる）
汎,あふ（れる）
弄,たわむ（れる）
