漢字,訓読み
戦,たたか（う）
戦,おのの（く）
戦,そよ（ぐ）
辞,ことわ（る）
働,はたら（く）
試,ため（す）
照,て（る）
管,つかさど（る）
察,し（る）
察,み（る）
説,と（く）
説,よろこ（ぶ）
漁,あさ（る）
漁,すなど（る）
億,おしはか（る）
課,はか（る）
縄,ただ（す）
熱,いき（る）
熱,ほて（る）
標,しる（す）
選,えら（ぶ）
選,え（る）
選,すぐ（る）
選,よ（る）
養,やしな（う）
積,つ（む）
録,しる（す）
類,に（る）
験,ため（す）
観,しめ（す）
観,み（る）
願,ねが（う）
競,きそ（う）
競,せ（る）
競,きお（う）
議,はか（る）
比,なら（ぶ）
支,か（う）
弁,かた（る）
弁,と（く）
圧,お（す）
圧,へ（す）
布,し（く）
示,しめ（す）
刊,きざ（む）
刊,けず（る）
犯,おか（す）
旧,ふ（る）
任,まか（す）
因,よ（る）
因,ちな（む）
仮,か（す）
在,あ（る）
在,いま（す）
在,ましま（す）
判,わか（る）
志,こころざ（す）
志,しる（す）
余,あま（す）
余,あま（る）
似,に（る）
均,なら（す）
囲,かこ（う）
囲,かこ（む）
防,ふせ（ぐ）
防,まも（る）
舎,お（く）
舎,やど（る）
居,い（る）
居,お（く）
居,お（る）
効,き（く）
効,いた（す）
効,なら（う）
招,まね（く）
往,ゆ（く）
易,あなど（る）
肥,ふと（る）
非,あら（ず）
非,そし（る）
限,かぎ（る）
紀,しる（す）
迷,まよ（う）
迷,まど（う）
則,のっと（る）
保,たも（つ）
保,も（つ）
航,わた（る）
殺,ころ（す）
殺,けず（る）
殺,そ（ぐ）
修,かざ（る）
能,あた（う）
能,よ（く）
耕,たがや（す）
格,いた（る）
格,う（つ）
格,ただ（す）
造,つく（る）
造,いた（る）
造,な（る）
破,やぶ（る）
容,ゆる（す）
益,ま（す）
略,おか（す）
略,はか（る）
略,はぶ（く）
張,は（る）
務,あなど（る）
率,したが（う）
接,つ（ぐ）
接,は（ぐ）
接,もてな（す）
断,ことわ（る）
断,た（つ）
得,え（る）
得,う（る）
採,と（る）
混,こ（む）
寄,よ（る）
規,ただ（す）
移,うつ（す）
移,うつ（る）
経,へ（る）
経,た（つ）
現,あらわ（す）
許,ゆる（す）
救,すく（う）
過,あやま（つ）
過,よぎ（る）
測,はか（る）
絶,た（つ）
絶,わた（る）
属,つ（く）
貸,か（す）
証,あか（す）
貿,あきな（う）
象,かたど（る）
喜,よろこ（ぶ）
復,かえ（す）
復,かえ（る）
営,いとな（む）
評,あげつら（う）
評,はか（る）
減,へ（る）
飼,か（う）
飼,やしな（う）
解,と（く）
解,さと（る）
解,ほど（く）
解,わか（る）
禁,い（む）
損,へ（る）
演,おこな（う）
構,かま（う）
像,かたど（る）
製,つく（る）
歴,へ（る）
適,かな（う）
適,ゆ（く）
増,ま（す）
質,ただ（す）
編,あ（む）
導,みちび（く）
暴,あば（く）
暴,さら（す）
衛,まも（る）
輸,いた（す）
輸,うつ（す）
輸,おく（る）
築,きず（く）
築,つ（く）
燃,も（す）
興,おこ（す）
興,おこ（る）
績,う（む）
績,つむ（ぐ）
謝,あやま（る）
謝,ことわ（る）
謝,さ（る）
職,つかさど（る）
織,お（る）
識,し（る）
識,しる（す）
護,まも（る）
亡,うしな（う）
干,ほ（す）
干,ひ（る）
干,おか（す）
処,お（く）
処,お（る）
吸,す（う）
至,いた（る）
存,あ（る）
存,たも（つ）
存,と（う）
乱,みだ（す）
困,こま（る）
批,う（つ）
批,ただ（す）
系,つな（ぐ）
呼,よ（ぶ）
拝,おが（む）
若,し（く）
担,かつ（ぐ）
担,にな（う）
並,なら（ぶ）
届,とど（く）
刻,きざ（む）
延,ひ（く）
沿,そ（う）
承,うけたまわ（る）
背,そむ（く）
映,うつ（す）
映,うつ（る）
看,み（る）
巻,ま（く）
退,しりぞ（く）
退,しさ（る）
退,すさ（る）
退,の（く）
退,ひ（く）
宣,のたま（う）
律,のっと（る）
洗,あら（う）
従,したが（う）
値,あ（う）
除,のぞ（く）
除,はら（う）
討,う（つ）
秘,かく（す）
座,すわ（る）
座,いま（す）
班,かえ（す）
射,い（る）
射,う（つ）
射,さ（す）
降,ふ（る）
降,くだ（す）
降,くだ（る）
訪,おとな（う）
訪,と（う）
訳,と（く）
探,さが（す）
探,さぐ（る）
著,あらわ（す）
著,き（る）
著,つ（く）
