漢字,訓読み
去,"さ（る）,のぞ（く）,ゆ（く）"
主,つかさど（る）
由,よ（る）
央,なか（ば）
皿,
号,さけ（ぶ）
礼,うやま（う）
世,
氷,こお（る）
仕,"つか（える）,つかまつ（る）"
申,"もう（す）,かさ（ねる）"
式,のっと（る）
曲,"ま（がる）,ま（げる）"
死,し（ぬ）
向,"む（かう）,む（く）,む（ける）,む（こう）,さき（に）"
次,"つ（ぐ）,つい（ず）,やど（る）"
両,ふた（つ）
血,
守,"まも（る）,も（り）"
安,"やす（い）,いずく（んぞ）,やす（んじる）"
列,"つら（なる）,つら（ねる）,なら（べる）"
羊,
全,"すべ（て）,まった（く）"
有,"あ（る）,も（つ）"
州,
返,"かえ（す）,かえ（る）"
身,みずか（ら）
医,い（やす）
助,"たす（かる）,たす（ける）"
豆,
究,"きわ（める）,きわ（まる）"
投,な（げる）
決,"き（まる）,き（める）"
対,"こた（える）,そろ（い）,む（かう）"
局,
坂,
住,"す（まう）,す（む）,とど（まる）"
役,つと（め）
君,
始,"はじ（まる）,はじ（める）"
取,と（る）
昔,
注,"そそ（ぐ）,さ（す）,つ（ぐ）"
受,"う（かる）,う（ける）"
者,
実,"みの（る）,み（ちる）"
使,"つか（う）,つか（わす）"
事,つか（える）
所,
命,おお（せ）
苦,"くる（しい）,くる（しむ）,くる（しめる）,にが（い）,にが（る）,はなは（だ）"
板,
泳,およ（ぐ）
表,"あらわ（す）,あらわ（れる）"
油,
味,あじ（わう）
服,"き（る）,したが（う）,の（む）"
物,
放,"はな（す）,はな（つ）,はな（れる）,ほう（る）,こ（く）,さ（く）,ひ（る）,まか（す）,ゆる（す）"
具,"つぶさ（に）,そな（える）,そな（わる）"
育,"そだ（つ）,そだ（てる）,はぐく（む）"
岸,かどだ（つ）
和,"なご（む）,なご（やか）,やわ（らぐ）,やわ（らげる）,あ（える）,な（ぐ）"
波,
定,"さだ（まる）,さだ（める）,さだ（か）,き（まる）"
委,"ゆだ（ねる）,お（く）,くわ（しい）,す（てる）,まか（せる）"
幸,"さいわ（い）,しあわ（せ）"
洋,ひろ（い）
送,おく（る）
柱,
面,そむ（く）
相,たす（ける）
神,
追,お（う）
研,"と（ぐ）,みが（く）"
度,"はか（る）,わた（る）"
炭,
待,ま（つ）
畑,
発,"あば（く）,た（つ）,はな（つ）,ひら（く）"
美,"うつく（しい）,ほ（める）,よ（い）"
秒,
品,
負,"お（う）,ま（かす）,ま（ける）,そむ（く）,たの（む）"
乗,"の（せる）,の（る）"
重,"おも（い）,かさ（なる）,かさ（ねる）,おも（んじる）"
指,さ（す）
界,
屋,
持,も（つ）
拾,ひろ（う）
急,"いそ（ぐ）,せ（く）"
県,
係,"かか（る）,かか（わる）,つな（ぐ）"
級,
客,
昭,あき（らか）
勉,つと（める）
庫,
酒,
院,
島,
