漢字,訓読み
誤,"あやま（る）,まど（わす）"
銭,
穀,
模,のっと（る）
層,かさ（なる）
誌,しる（す）
認,"みと（める）,したた（める）"
疑,"うたが（う）,うたぐ（る）"
蔵,"おさ（める）,かく（れる）"
敵,かな（う）
劇,はげ（しい）
遺,"す（てる）,のこ（す）,のこ（る）,わす（れる）"
諸,
論,"あげつら（う）,と（く）"
潮,
誕,"いつわ（る）,う（まれる）"
熟,"う（れる）,う（む）,こな（す）,こな（れる）,な（れる）,に（える）,に（る）"
権,"いきお（い）,はか（る）"
激,"はげ（しい）,はげ（ます）"
操,"あやつ（る）,と（る）"
鋼,
糖,
樹,"う（える）,た（てる）"
縦,"はな（つ）,ゆる（す）,ゆる（める）,よし（んば）"
憲,のっと（る）
奮,ふる（う）
縮,"ちぢ（まる）,ちぢ（む）,ちぢ（める）,ちぢ（らす）,ちぢ（れる）"
厳,"きび（しい）,おごそ（か）,いか（つい）,いかめ（しい）"
覧,み（る）
優,"すぐ（れる）,やさ（しい）,まさ（る）,やわ（らぐ）,ゆた（か）"
簡,えら（ぶ）
臨,のぞ（む）
難,"むずか（しい）,かた（い）,にく（い）,むつか（しい）"
臓,
警,いまし（める）
与,"あた（える）,あずか（る）,くみ（する）"
丈,
及,"およ（び）,およ（ぶ）,およ（ぼす）"
凡,"およ（そ）,すべ（て）"
互,"たが（い）,かたみ（に）"
凶,"おそ（れる）,わざわ（い）,わる（い）"
丹,
介,たす（ける）
刈,か（る）
匹,たぐ（う）
丘,
甘,"あま（い）,あま（える）,あま（やかす）,うま（い）"
払,はら（う）
巨,"おお（い）,おお（きい）"
込,"こ（む）,こ（める）"
矛,
召,め（す）
奴,
占,"うらな（う）,し（める）"
玄,くろ（い）
汚,"きたな（い）,よご（す）,よご（れる）,けが（す）,けが（らわしい）,けが（れる）"
朱,あか（い）
仰,"あお（ぐ）,おお（せ）,あおの（く）,おっしゃ（る）,の（く）"
扱,"あつか（う）,こ（く）,しご（く）"
汗,
弐,ふた（つ）
芝,
芋,
忙,"いそが（しい）,せわ（しい）"
尽,"つ（かす）,つ（きる）,つ（くす）,ことごと（く）,すが（れる）"
朽,"く（ちる）,すた（れる）"
旨,うま（い）
劣,"おと（る）,いや（しい）"
旬,
吐,"は（く）,つ（く）,ぬ（かす）"
巡,"めぐ（る）,まわ（る）"
舟,
叫,さけ（ぶ）
迎,むか（える）
抜,"ぬ（かす）,ぬ（かる）,ぬ（く）,ぬ（ける）"
攻,"せ（める）,おさ（める）,みが（く）"
却,"かえ（って）,しりぞ（く）,しりぞ（ける）"
更,"ふ（かす）,ふ（ける）,あらた（める）,か（える）"
狂,"くる（う）,くる（おしい）,ふ（れる）"
尾,
抗,"あらが（う）,こば（む）,はりあ（う）,ふせ（ぐ）"
吹,ふ（く）
壱,ひと（つ）
床,
妙,わか（い）
秀,ひい（でる）
戒,いまし（める）
伺,うかが（う）
坊,
含,"ふく（む）,ふく（める）"
沈,"しず（む）,しず（める）"
即,"すなわ（ち）,つ（く）"
沢,うるお（う）
彼,
抵,"あ（たる）,う（つ）,ふ（れる）"
姓,
拓,ひら（く）
杯,
茂,"しげ（る）,すぐ（れる）"
到,いた（る）
沼,
突,つ（く）
刺,"さ（さる）,さ（す）,そし（る）"
征,"う（つ）,と（る）,ゆ（く）"
迫,"せま（る）,せ（る）"
拍,う（つ）
泊,"と（まる）,と（める）"
怖,"こわ（い）,お（じける）,おそ（れる）"
肩,
押,"お（さえる）,お（す）"
祈,いの（る）
況,いわ（んや）
抱,"いだ（く）,かか（える）,だ（く）"
肪,
拠,よ（る）
屈,"かが（む）,くぐ（まる）,こご（まる）"
依,よ（る）
奇,"あや（しい）,く（し）,めずら（しい）"
荒,"あら（い）,あ（らす）,あ（れる）,すさ（ぶ）,すさ（む）"
咲,"さ（く）,わら（う）"
侵,"おか（す）,みにく（い）"
是,"こ（の）,ただ（しい）"
盆,
狩,"か（り）,か（る）"
峠,
柔,"やわ（らか）,やわ（らかい）,やさ（しい）,やわ（らげる）"
皆,
冒,"おか（す）,おお（う）,ねた（む）,むさぼ（る）"
逃,"に（がす）,に（げる）,のが（す）,のが（れる）"
盾,
怒,"いか（る）,おこ（る）"
恒,つね（に）
郎,
枯,"か（らす）,か（れる）,から（びる）"
狭,"せば（まる）,せば（める）,せま（い）"
珍,めずら（しい）
俗,"いや（しい）,なら（わし）"
耐,た（える）
威,おど（す）
柄,いきお（い）
為,"す（る）,つく（る）,な（す）,な（る）"
致,いた（す）
称,"あ（げる）,かな（う）,たた（える）,とな（える）,はか（る）"
恥,"は（じらう）,は（じる）,は（ずかしい）"
眠,"ねむ（い）,ねむ（る）"
陣,
振,"ふ（る）,ふ（るう）,ふ（れる）,すく（う）"
恋,"こい（しい）,こ（う）"
透,"す（かす）,す（く）,す（ける）,とお（る）"
唐,
浸,"ひた（す）,ひた（る）,し（みる）,つ（かる）,つ（く）"
桃,
涙,
紋,
烈,はげ（しい）
倒,"たお（す）,たお（れる）,こ（ける）"
扇,"あお（ぐ）,おだ（てる）"
娘,
胴,
軒,"たか（い）,と（ぶ）"
浮,"う（かぶ）,う（かべる）,う（かれる）,う（く）"
兼,"か（ねる）,あわ（せる）"
捕,"つか（まえる）,つか（まる）,と（らえる）,と（らわれる）,と（る）"
剤,ま（ぜる）
剣,
疲,"つか（れる）,つか（らす）"
被,"こうむ（る）,おお（う）,かず（ける）,かぶ（せる）,かぶ（る）"
砲,
鬼,
悩,"なや（ます）,なや（む）"
脂,
峰,
敏,"さと（い）,と（し）"
恵,めぐ（む）
途,
浜,
般,めぐ（る）
恐,"おそ（れる）,おそ（ろしい）,こわ（い）"
斜,なな（め）
陰,"かげ（る）,くも（る）,くら（い）,ひそ（か）"
婚,
添,"そ（う）,そ（える）"
淡,"あわ（い）,うす（い）"
描,"えが（く）,か（く）"
執,"と（る）,とら（える）"
脱,"ぬ（ぐ）,ぬ（げる）"
紹,つ（ぐ）
粒,
惨,"みじ（め）,いた（ましい）,いた（む）,むご（い）"
猛,たけ（し）
菓,
釈,"お（く）,と（かす）,と（く）,ゆる（す）"
寂,"さび（しい）,さび（れる）,さ（びる）,しず（か）"
盗,"ぬす（む）,と（る）"
彩,いろど（る）
掘,ほ（る）
販,"あきな（う）,ひさ（ぐ）"
脚,
乾,"かわ（かす）,かわ（く）,ほ（す）"
帽,
傍,"かたわ（ら）,そ（う）"
遅,"おく（らす）,おく（れる）,おそ（い）"
弾,"はず（む）,ひ（く）,ただ（す）,はじ（く）,はじ（ける）,はず（み）"
鈍,"にぶ（い）,にぶ（る）,なま（る）,のろ（い）"
惑,まど（う）
腕,
雄,まさ（る）
普,あまね（く）
堤,
塔,
絡,"から（まる）,から（む）,から（める）,から（げる）,つな（ぐ）,まと（う）"
幅,
渡,"わた（す）,わた（る）"
訴,うった（える）
尋,たず（ねる）
握,にぎ（る）
紫,
殖,"ふ（える）,ふ（やす）"
煮,"に（える）,に（やす）,に（る）"
圏,かこ（い）
援,"たす（ける）,ひ（く）"
幾,"きざ（し）,こいねが（う）,ほとん（ど）"
越,"こ（える）,こ（す）"
畳,"たた（む）,かさ（なる）,かさ（ねる）"
偉,"えら（い）,すぐ（れる）"
替,"か（える）,か（わる）"
堅,かた（い）
項,
奥,
距,"ふせ（ぐ）,へだ（てる）"
御,おさ（める）
微,かす（か）
腰,
煙,"けむ（い）,けむ（る）,けぶ（る）"
誉,"ほま（れ）,ほ（める）"
遣,"つか（う）,つか（わす）,や（る）"
暇,
搬,はこ（ぶ）
継,つ（ぐ）
鼓,
誇,ほこ（る）
鉛,
雅,みやび（やか）
歳,
載,"の（せる）,の（る）,しる（す）"
溶,"と（かす）,と（く）,と（ける）"
勧,すす（める）
殿,
較,くら（べる）
嘆,"なげ（かわしい）,なげ（く）"
詰,"つ（まる）,つ（む）,つ（める）,なじ（る）"
僧,
跳,"と（ぶ）,は（ねる）,おど（る）"
蓄,たくわ（える）
違,"ちが（う）,ちが（える）,か（い）,さ（る）,たが（う）,たが（える）"
跡,
飾,"かざ（る）,かざ（り）"
慎,"つつし（む）,つつま（しい）,つつま（しやか）"
傾,"かたむ（く）,かたむ（ける）,かし（ぐ）,かた（げる）,くつがえ（る）"
雷,
触,"さわ（る）,ふ（れる）"
詳,"くわ（しい）,つまび（らか）"
寝,"ね（かす）,ね（る）,みにく（い）,や（める）"
慢,"あなど（る）,おこた（る）,おご（る）"
漫,"そぞ（ろに）,みだ（りに）"
腐,"くさ（らす）,くさ（る）,くさ（れる）,くさ（す）"
隠,"かく（す）,かく（れる）"
駆,"か（ける）,か（る）,お（う）"
箇,
徴,め（す）
維,つな（ぐ）
暦,
摘,"つ（む）,つま（む）"
滴,"したた（る）,た（れる）"
端,"ただ（しい）,はじ（め）"
稲,
踊,"おど（り）,おど（る）"
需,もと（める）
罰,
雌,
豪,"えら（い）,つよ（い）"
網,
髪,
縁,よ（る）
舗,し（く）
戯,"たわむ（れる）,ざ（れる）,たわ（ける）"
輝,"かがや（く）,て（る）"
歓,よろこ（ぶ）
監,"かんがみ（る）,しら（べる）,み（る）"
黙,"だま（る）,だんま（り）,もだ（す）"
鋭,"するど（い）,はや（い）"
影,
慮,おもんぱか（る）
輩,
儀,よ（い）
範,
稿,
趣,"うなが（す）,おもむ（く）"
撃,う（つ）
盤,"ま（がる）,めぐ（る）,わだかま（る）"
膚,
敷,し（く）
震,"ふる（う）,ふる（える）"
噴,"ふ（く）,は（く）"
踏,"ふ（まえる）,ふ（む）"
舞,"ま（う）,もてあそ（ぶ）"
賦,わか（つ）
澄,"す（ます）,す（む）"
謡,うた（う）
薪,
繁,"しげ（る）,わずら（わしい）"
濃,"こ（い）,こま（やか）"
隣,とな（る）
獣,
壁,
薄,"うす（い）,うす（まる）,うす（める）,うす（らぐ）,うす（れる）,せま（る）"
頼,"たの（む）,たの（もしい）,たよ（る）,たよ（り）"
曇,くも（る）
憶,"おぼ（える）,おも（う）"
隷,したが（う）
濁,"にご（す）,にご（る）"
避,"さ（ける）,よ（ける）"
緯,
獲,え（る）
壊,"こわ（す）,こわ（れる）,やぶ（る）,やぶ（れる）"
燥,"かわ（く）,はしゃ（ぐ）"
齢,
療,い（やす）
鮮,"あざ（やか）,あたら（しい）,すく（ない）"
環,めぐ（る）
翼,たす（ける）
瞬,"またた（く）,しばた（く）,しばたた（く）,まじろ（ぐ）,まばた（く）"
贈,おく（る）
騒,"さわ（ぐ）,うれ（い）,ざわ（つく）,ぞめ（く）"
離,"はな（す）,はな（れる）,かか（る）,か（る）,つ（く）,なら（ぶ）"
鎖,"さ（す）,とざ（す）"
闘,"たたか（う）,たたか（い）"
麗,"うるわ（しい）,うら（ら）,うら（らか）,つら（なる）,なら（ぶ）"
霧,
爆,"さ（ける）,は（ぜる）"
繰,く（る）
欄,
響,"ひび（く）,どよ（めく）"
露,"あらわ（す）,あらわ（れる）"
躍,おど（る）
襲,"おそ（う）,かさ（ねる）,つ（ぐ）"
驚,"おどろ（かす）,おどろ（く）"
鑑,かんが（みる）
乙,
了,"お（わる）,さと（る）,しま（う）"
又,ふたた（び）
乏,とぼ（しい）
孔,はなは（だ）
冗,
幻,まど（わす）
斤,
斗,
双,"なら（ぶ）,ふた（つ）"
斥,"うかが（う）,しりぞ（ける）"
巧,"たく（み）,うま（い）,たく（む）"
甲,
伏,"ふ（す）,ふ（せる）,かく（れる）,したが（う）"
如,"ごと（し）,し（く）,も（し）,ゆ（く）"
吉,よ（い）
企,"くわだ（てる）,たくら（む）"
帆,
吏,
刑,
伐,"う（つ）,き（る）,ほこ（る）"
匠,
辛,"から（い）,つら（い）"
寿,"いのちなが（し）,ことほ（ぐ）,ひさ（しい）"
伸,"の（ばす）,の（びる）,の（べる）,の（す）,の（る）"
没,"おぼ（れる）,しず（む）,し（ぬ）,な（い）"
忌,"い（まわしい）,い（む）"
妨,さまた（げる）
尿,
邦,
芳,"かんば（しい）,かお（り）,かぐわ（しい）"
抑,"おさ（える）,ふさ（ぐ）"
伴,ともな（う）
励,"はげ（ます）,はげ（む）"
克,"か（つ）,よ（く）"
坑,
択,"えら（ぶ）,よ（る）"
肝,
卓,すぐ（れる）
泌,にじ（む）
奉,"たてまつ（る）,うけたまわ（る）,まつ（る）"
苗,か（り）
欧,は（く）
抽,"ぬ（く）,ひ（く）"
昇,のぼ（る）
拘,"かか（わる）,こだわ（る）,とど（める）,とら（える）"
炎,も（える）
炉,
祉,さいわ（い）
阻,"はば（む）,けわ（しい）,へだ（たる）"
佳,よ（い）
炊,"た（く）,かし（ぐ）"
免,"まぬか（れる）,う（む）,や（める）,ゆる（す）"
邪,
岳,
房,
侍,"さぶら（う）,はべ（る）"
怪,"あや（しい）,あや（しむ）"
殴,"なぐ（る）,う（つ）,たた（く）"
施,"ほどこ（す）,し（く）"
封,と（じる）
卑,"いや（しい）,いや（しむ）,いや（しめる）,ひく（い）"
架,"か（かる）,か（ける）"
弧,
郊,
孤,"そむ（く）,ひと（り）"
削,"けず（る）,そ（ぐ）,はつ（る）"
恨,"うら（む）,うら（めしい）"
赴,"おもむ（く）,つ（げる）"
怠,"おこた（る）,なま（ける）,だる（い）"
幽,"かす（か）,くら（い）"
促,"うなが（す）,せま（る）"
卸,おろ（す）
厘,
哀,"あわ（れ）,あわ（れむ）,かな（しい）,かな（しむ）"
牲,
胎,はら（む）
悔,"く（いる）,くや（しい）,く（やむ）"
冠,かむ（る）
胆,
某,
契,"ちぎ（る）,きざ（む）,ちぎ（り）"
訂,"さだ（める）,ただ（す）"
胞,
峡,
帝,
虐,"しいた（げる）,むご（い）"
軌,
隻,ひと（つ）
哲,"あき（らか）,さと（い）"
桑,
匿,"かくま（う）,かく（れる）"
凍,"こお（る）,こご（える）,い（てる）,し（みる）"
疾,"と（く）,と（し）,にく（む）,はや（い）,やま（しい）,や（む）"
徐,
託,"かこ（つ）,かこつ（ける）,ことづ（かる）,まか（せる）"
粋,
辱,"はずかし（める）,かたじけな（い）,はずかし（め）"
畜,"か（う）,たくわ（える）,やしな（う）"
殊,
既,すで（に）
浪,みだ（りに）
紛,"まぎ（らす）,まぎ（らわしい）,まぎ（らわす）,まぎ（れる）,まが（う）,まぐ（れ）,みだ（れる）"
倹,"つづま（やか）,つま（しい）"
悟,さと（る）
娯,たの（しむ）
衰,おとろ（える）
華,しろ（い）
姫,
脅,"おど（かす）,おど（す）,おびや（かす）,おび（える）"
宴,たの（しむ）
畔,そむ（く）
倣,なら（う）
埋,"う（まる）,う（める）,う（もれる）,い（ける）,うず（まる）,うず（もれる）"
悦,よろこ（ぶ）
掛,"か（かる）,か（ける）"
陵,しの（ぐ）
酔,よ（う）
控,"ひか（える）,つ（げる）,のぞ（く）"
貫,"つらぬ（く）,ぬ（く）,ひ（く）"
勘,かんが（える）
袋,
粗,あら（い）
措,"お（く）,はか（らう）"
掃,"は（く）,はら（う）"
陶,
惜,"お（しい）,お（しむ）"
逮,"およ（ぶ）,とら（える）"
猟,"か（り）,か（る）"
隆,"さか（ん）,たか（い）"
郭,
菊,
掲,かか（げる）
符,
赦,ゆる（す）
紺,
豚,
陪,したが（う）
排,"おしの（ける）,つら（ねる）"
婆,
崩,"くず（す）,くず（れる）"
粘,ねば（る）
虚,"うつ（ける）,うつ（ろ）,むな（しい）"
陳,"つら（ねる）,の（べる）,ひ（ねる）,ふる（い）"
窒,ふさ（がる）
彫,ほ（る）
偶,
啓,"ひら（く）,もう（す）"
蛮,
廊,
募,つの（る）
揚,"あ（がる）,あ（げる）"
葬,ほうむ（る）
揺,"ゆ（さぶる）,ゆ（すぶる）,ゆ（する）,ゆ（らぐ）,ゆ（る）,ゆ（るぐ）,ゆ（れる）"
痘,
裂,"さ（く）,さ（ける）"
超,"こ（える）,こ（す）"
遂,"と（げる）,おお（せる）,つい（に）"
喫,"く（う）,す（う）,の（む）"
焦,"こ（がす）,こ（がれる）,こ（げる）,あせ（る）,じ（らす）,じ（れる）,や（く）"
欺,あざむ（く）
棋,
湿,"しめ（す）,しめ（る）,うるお（い）,うるお（す）"
喚,"さけ（ぶ）,よ（ぶ）,わめ（く）"
晶,あき（らか）
軸,
掌,つかさど（る）
敢,あ（えて）
換,"か（える）,か（わる）"
随,"したが（う）,まにま（に）"
絞,"しぼ（る）,し（まる）,し（める）,くび（る）"
遇,"あ（う）,もてな（す）"
硬,かた（い）
詠,"よ（む）,うた（う）,なが（める）"
婿,
湾,
雇,やと（う）
慌,"あわ（ただしい）,あわ（てる）"
携,"たずさ（える）,たずさ（わる）,はな（れる）"
滅,"ほろ（びる）,ほろ（ぼす）"
塗,"ぬ（る）,まぶ（す）,まみ（れる）"
飽,"あ（かす）,あ（きる）"
隔,"へだ（たる）,へだ（てる）"
慈,いつく（しむ）
棄,す（てる）
愚,おろ（か）
催,"もよお（す）,うなが（す）,もよ（い）"
債,"か（し）,か（り）"
搾,しぼ（る）
嫁,とつ（ぐ）
賊,そこ（なう）
楼,
滞,とどこお（る）
廉,"いさぎよ（い）,やす（い）"
滝,
摂,"か（ねる）,か（わる）,と（る）"
零,"あま（り）,お（ちる）,こぼ（れる）,ふ（る）"
塊,
稚,"いとけな（い）,わか（い）"
滑,"すべ（る）,なめ（らか）,ぬめ（る）"
慨,"いきどお（る）,なげ（く）"
裸,
該,"か（ねる）,そな（わる）,そ（の）"
漂,"ただよ（う）,さら（す）"
誘,"さそ（う）,いざな（う）,おび（く）"
魂,
獄,うった（える）
酵,
慕,"した（う）,しの（ぶ）"
碑,
膜,
概,おおむ（ね）
憎,"にく（い）,にく（しみ）,にく（む）,にく（らしい）"
遭,あ（う）
綱,
墨,
奪,うば（う）
漏,"も（らす）,も（る）,も（れる）"
慰,"なぐさ（む）,なぐさ（める）"
緊,"かた（い）,きび（しい）,し（める）,ちぢ（む）"
緩,"ゆる（い）,ゆる（む）,ゆる（める）,ゆる（やか）,ぬる（い）"
閲,"けみ（する）,へ（る）"
霊,よ（い）
餓,"う（え）,う（える）"
憂,"うれ（い）,うれ（える）,う（い）"
墳,
穂,
暫,"しば（し）,しばら（く）"
潤,"うるお（う）,うるお（す）,うる（む）,ほと（びる）"
遵,したが（う）
締,"し（まる）,し（める）,むす（ぶ）"
衝,つ（く）
鋳,い（る）
駐,とど（まる）
嘱,たの（む）
撮,"と（る）,つま（む）"
潜,"ひそ（む）,もぐ（る）,くぐ（る）"
請,"う（ける）,こ（う）"
魅,
墜,"お（ちる）,お（とす）"
諾,うべな（う）
審,つまび（らか）
擁,"いだ（く）,だ（く）,まも（る）"
穏,"おだ（やか）,やす（らか）"
壇,
篤,あつ（い）
嬢,
錠,
諮,"はか（る）,と（う）"
錬,ね（る）
墾,ひら（く）
縛,"しば（る）,いまし（める）"
凝,"こ（らす）,こ（る）,こご（る）,しこ（り）"
賢,"かしこ（い）,さか（しい）,まさ（る）"
憩,"いこ（い）,いこ（う）"
縫,ぬ（う）
錯,"あやま（る）,お（く）,ま（じる）"
謀,はか（る）
膨,"ふく（らむ）,ふく（れる）,ふく（よか）"
聴,"き（く）,ゆる（す）"
鍛,きた（える）
犠,
擦,"す（る）,す（れる）,かす（れる）,こす（る）,さす（る）,なす（る）"
糧,
繕,つくろ（う）
癖,
覆,"おお（う）,くつがえ（す）,くつがえ（る）"
藩,
騎,の（る）
鎮,"しず（まる）,しず（める）,おさ（え）"
礎,
翻,"ひるがえ（す）,ひるがえ（る）"
穫,"か（る）,とりい（れる）"
濫,"う（かべる）,みだ（りに）,みだ（れる）"
鯨,
髄,
鶏,
簿,
瀬,
譲,"ゆず（る）,せ（める）"
鐘,
籍,"し（く）,ふ（む）"
顧,かえり（みる）
魔,
刃,き（る）
弔,とむら（う）
厄,"くる（しむ）,わざわ（い）"
屯,なや（む）
升,のぼ（る）
凸,つばく（む）
尼,
囚,"とら（える）,とら（われる）"
汁,
丙,
仙,
凹,"くぼ（む）,へこ（ます）,へこ（む）"
且,"か（つ）,しばら（く）,まさ（に）"
迅,"はげ（しい）,はや（い）"
缶,
妄,みだ（りに）
朴,
妃,
充,"あ（てる）,み（たす）,み（ちる）,み（つ）"
江,
肌,
壮,さか（ん）
忍,"しの（ばせる）,しの（ぶ）,むご（い）"
肖,"あやか（る）,かたど（る）,に（る）"
亜,つ（ぐ）
抄,"うつ（す）,かすめ（る）,す（く）,すく（う）"
妊,"はら（む）,みごも（る）"
杉,
把,"と（る）,にぎ（る）"
吟,"うた（う）,うめ（く）"
妥,"おだ（やか）,やす（らか）"
戻,"もど（す）,もど（る）,いた（る）,もと（る）"
扶,たす（ける）
呉,く（れる）
但,ただ（し）
伯,
廷,
呈,しめ（す）
享,"あ（たる）,う（ける）,すす（める）"
茎,
枠,
昆,
披,ひら（く）
肯,"あ（えて）,うなず（く）,うべな（う）,がえん（じる）"
併,"あわ（せる）,しか（し）,なら（ぶ）"
弦,
肢,
泡,
侮,あなど（る）
沸,"わ（かす）,わ（く）,た（てる）"
附,"つ（く）,つ（ける）"
拒,"こば（む）,ふせ（ぐ）"
泥,なず（む）
析,"さ（く）,わ（かれる）,わ（ける）"
斉,"ととの（える）,ひと（しい）"
奔,はし（る）
坪,
劾,"あば（く）,しら（べる）"
枢,
拐,"かた（る）,かどわか（す）"
迭,"か（わる）,たが（いに）"
尚,"くわ（える）,たっと（ぶ）,とうと（ぶ）"
盲,くら（い）
叔,わか（い）
宜,"よ（い）,よろ（しい）,よろ（しく）"
邸,
拙,"つたな（い）,まず（い）"
抹,"け（す）,す（る）"
岬,
勅,いまし（める）
砕,"くだ（く）,くだ（ける）"
帥,ひき（いる）
拷,う（つ）
挑,いど（む）
甚,"はなは（だ）,はなは（だしい）,いた（く）"
洞,"つらぬ（く）,ふか（い）"
俊,すぐ（れる）
叙,の（べる）
臭,"くさ（い）,にお（う）"
貞,ただ（しい）
浄,きよ（い）
津,
亭,とど（まる）
窃,"ぬす（む）,ひそ（かに）"
荘,おごそ（か）
糾,"あざな（う）,ただ（す）"
垣,
括,"くく（る）,くび（る）,くび（れる）"
柳,
衷,
疫,
挟,"はさ（まる）,はさ（む）,さしはさ（む）"
洪,
侯,
姻,とつ（ぐ）
飢,"う（える）,う（え）"
准,"なぞら（える）,ゆる（す）"
逓,"か（わる）,たが（いに）"
宵,
症,
秩,つい（で）
陥,"おちい（る）,おとしい（れる）"
耗,"たよ（り）,へ（る）"
殉,したが（う）
祥,"きざ（し）,さいわ（い）"
娠,"はら（む）,みごも（る）"
核,
唇,
泰,"おご（る）,やす（い）,やす（らか）"
捜,さが（す）
逐,お（う）
租,ちんが（り）
翁,
朕,きざ（し）
栓,
倫,つい（で）
索,"さが（す）,もと（める）"
逝,"い（く）,ゆ（く）"
畝,
竜,
蚊,
挿,"さ（す）,さしはさ（む）,す（げる）,はさ（む）"
紡,つむ（ぐ）
酌,く（む）
桟,
浦,
珠,
俸,
剖,"さ（く）,わ（ける）"
宰,つかさど（る）
恭,"うやうや（しい）,つつし（む）"
栽,う（える）
剛,"かた（い）,つよ（い）"
唆,そそのか（す）
貢,みつ（ぐ）
曹,
涼,"すず（しい）,すず（む）,うす（い）"
培,つちか（う）
据,"す（える）,す（わる）"
崇,"あが（める）,お（わる）,たか（い）,たっと（ぶ）,とうと（ぶ）"
偵,うかが（う）
偏,"かたよ（る）,ひとえ（に）"
渓,
庸,"おろ（か）,なん（ぞ）,もち（いる）"
舶,
患,"わずら（う）,うれ（い）,うれ（える）,わずら（い）"
瓶,
眺,なが（める）
旋,めぐ（る）
釣,つ（る）
累,"かさ（なる）,かさ（ねる）,しき（りに）,しば（る）,わずら（わす）"
斎,"いつ（く）,つつし（む）"
猫,
逸,"うしな（う）,すぐ（れる）,そ（らす）,そ（れる）,はぐ（れる）,はし（る）,はや（る）"
尉,
涯,
蛍,
麻,しび（れる）
悠,"とお（い）,はる（か）"
訟,"うった（え）,うった（える）"
淑,"しと（やか）,よ（い）"
唯,
軟,"やわ（らか）,やわ（らかい）"
庶,"おお（い）,こいねが（う）"
悼,いた（む）
菌,
渋,"しぶ（い）,しぶ（る）"
堀,
剰,"あま（す）,あまつさ（え）,あま（る）"
渉,"かか（わる）,わた（る）"
蛇,
紳,
粛,つつし（む）
偽,いつわ（る）
渇,"かわ（く）,むさぼ（る）"
殻,
喝,"おど（す）,しか（る）"
堕,"お（ちる）,お（とす）,お（ろす）,こぼ（つ）"
猶,
惰,おこた（る）
棚,
扉,
棟,
筒,
痢,
裕,"ひろ（い）,ゆた（か）"
媒,
硫,
塚,
塀,
雰,
搭,"の（せる）,の（る）"
愉,"たの（しい）,たの（しむ）"
塁,かさ（ねる）
遍,あまね（く）
渦,
琴,
棺,
堪,"た（える）,こた（える）,こら（える）,たま（る）"
廃,"すた（る）,すた（れる）,や（める）"
隅,
診,み（る）
款,"しる（す）,たた（く）,よろこ（ぶ）"
閑,"しず（か）,なら（う）"
詔,つ（げる）
循,"したが（う）,めぐ（る）"
硝,
暁,さと（る）
酢,す（い）
詐,"あざむ（く）,いつわ（り）,いつわ（る）"
粧,"めか（す）,よそお（う）"
傘,
疎,"うと（い）,うと（む）,おろ（か）,おろそ（か）,とお（す）,とお（る）,まば（ら）"
喪,"うしな（う）,ほろ（びる）,ほろ（ぼす）"
傑,すぐ（れる）
漠,ひろ（い）
睡,ねむ（る）
愁,"うれ（い）,うれ（える）"
酬,むく（いる）
嗣,つ（ぐ）
嫌,"きら（う）,うたが（う）"
鉢,
煩,"わずら（う）,わずら（わす）,うるさ（い）"
頒,"し（く）,わ（ける）"
献,"ささ（げる）,たてまつ（る）,まつ（る）"
溝,
碁,
督,"うなが（す）,ただ（す）,ひき（いる）,み（る）"
賄,"まかな（う）,まいな（う）"
虜,
虞,
猿,
禅,ゆず（る）
鈴,
禍,わざわ（い）
奨,すす（める）
践,ふ（む）
靴,
褐,
艇,
酪,
塑,
寛,"くつろ（ぐ）,ひろ（い）,ゆる（やか）"
頑,
痴,"おろ（か）,し（れる）"
僚,
閥,
寡,すく（ない）
酷,"きび（しい）,はなは（だしい）,ひど（い）,むご（い）"
銘,しる（す）
僕,
彰,"あき（らか）,あらわ（す）,あらわ（れる）"
漬,"つ（かる）,つ（ける）"
誓,ちか（う）
銃,
駄,の（せる）
漸,"すす（む）,ようや（く）"
塾,
遮,さえぎ（る）
嫡,
寧,"いずく（んぞ）,なん（ぞ）,ねんご（ろ）,むし（ろ）,やす（い）"
漆,
緒,
褒,ほ（める）
徹,とお（る）
撤,す（てる）
摩,"こす（る）,さす（る）,す（る）"
窮,"きわ（まる）,きわ（める）"
槽,
窯,
撲,"う（つ）,なぐ（る）,は（る）"
履,"は（く）,ふ（む）"
遷,"うつ（す）,うつ（る）"
寮,
稼,"かせ（ぐ）,う（える）,みの（り）"
謁,まみ（える）
勲,
幣,
賓,したが（う）
憤,"いきどお（る）,むずか（る）"
罷,"つか（れる）,まか（る）,や（める）"
弊,"つい（える）,つか（れる）,やぶ（れる）"
慶,"よ（い）,よろこ（ぶ）"
賜,"たまわ（る）,たま（う）"
賠,つぐな（う）
懐,"なつ（かしい）,なつ（かしむ）,なつ（く）,なつ（ける）,いだ（く）,おも（う）"
衡,はか（る）
還,"かえ（す）,かえ（る）"
儒,
磨,"みが（く）,す（る）,と（ぐ）"
薫,"かお（る）,た（く）"
融,"とお（る）,と（ける）"
憾,うら（む）
諭,さと（す）
薦,"すす（める）,しき（りに）,し（く）"
壌,
嚇,"いか（る）,おど（かす）,おど（す）"
購,あがな（う）
頻,"しき（りに）,しき（る）"
霜,
爵,
懇,ねんご（ろ）
濯,"あら（う）,すす（ぐ）"
轄,とりし（まる）
醜,"みにく（い）,にく（む）"
矯,"た（める）,いつわ（る）"
謹,つつし（む）
擬,"なぞら（える）,はか（る）"
礁,
謙,へりくだ（る）
謄,うつ（す）
償,つぐな（う）
